extract1,extract2,extract3,extract4,extract5,extract6,pcrSV019,pcrSV020,pcrSV021,pcrTM018,pcrSV023,pcrSV016,prcSV017,pcrSV018,foram_extract1_1,foram_extract2_1,foram_extract3_1,foram_extract4_1,foram_extract5_1,foram_extract6_1,pcrSV011,pcrSV012,pcrSV013,pcrSV014,foram_extract1_2,foram_extract4_2,foram_extract5_2,foram_extract6_2,foram_extract7_2,foram_extract8_2,foram_extract9_2,foram_extract10_2,foram_extract11_2,MP056A,MP056B,MP056C,MP057A,MP057B,MP057C
,,,,,,,,,,,,,,,NBC.LAB.11100c,NBC.LAB.11114c,NBC.LAB.11133c,NBC.LAB.11152c,NBC.LAB.11171c,NBC.LAB.11113a,NBC.LAB.11113b,NBC.LAB.11113c,NBC.LAB.11215c,,NBC.LAB.15303c,NBC.LAB.15293c,NBC.LAB.15357c,NBC.LAB.15300b,NBC.LAB.15315b,NBC.LAB.15319b,NBC.LAB.15268b,NBC.LAB.15271b,NBC.LAB.15303a,NBC.LAB.15303b,NBC.LAB.15303c,NBC.LAB.15341a,NBC.LAB.15341b,NBC.LAB.15341c
,,,,,,,,,,,,,,,NBC.LAB.11101a,NBC.LAB.11115a,NBC.LAB.11134a,NBC.LAB.11153a,NBC.LAB.11172a,NBC.LAB.11114a,NBC.LAB.11114b,NBC.LAB.11114c,negcontrolSV014_,,NBC.LAB.15306c,NBC.LAB.15294c,NBC.LAB.15360c,NBC.LAB.15324b,NBC.LAB.15316b,NBC.LAB.15320b,NBC.LAB.15270b,NBC.LAB.15284b,NBC.LAB.15311a,NBC.LAB.15311b,NBC.LAB.15311c,NBC.LAB.15349a,NBC.LAB.15349b,NBC.LAB.15349c
,,,,,,,,,,,,,,,NBC.LAB.11101b,NBC.LAB.11115b,NBC.LAB.11134b,NBC.LAB.11153b,NBC.LAB.11172b,NBC.LAB.11115a,NBC.LAB.11115b,NBC.LAB.11115c,,,NBC.LAB.15322c,NBC.LAB.15295c,NBC.LAB.15361c,NBC.LAB.15370b,NBC.LAB.15349b,NBC.LAB.15321b,NBC.LAB.15279b,NBC.LAB.15297b,NBC.LAB.15319a,NBC.LAB.15319b,NBC.LAB.15319c,NBC.LAB.15357a,NBC.LAB.15357b,NBC.LAB.15357c
,,,,,,,,,,,,,,,NBC.LAB.11101c,NBC.LAB.11115c,NBC.LAB.11134c,NBC.LAB.11153c,NBC.LAB.11172c,NBC.LAB.11116a,NBC.LAB.11116b,NBC.LAB.11116c,,,NBC.LAB.15327c,NBC.LAB.15296c,NBC.LAB.15362c,NBC.LAB.15380b,NBC.LAB.15351b,NBC.LAB.15323b,NBC.LAB.15286b,NBC.LAB.15298b,NBC.LAB.15327a,NBC.LAB.15327b,NBC.LAB.15327c,NBC.LAB.15365a,NBC.LAB.15365b,NBC.LAB.15365c
,,,,,,,,,,,,,,,NBC.LAB.11102a,NBC.LAB.11116a,NBC.LAB.11135a,NBC.LAB.11154a,NBC.LAB.11173a,NBC.LAB.11117a,NBC.LAB.11117b,NBC.LAB.11117c,,,NBC.LAB.15329c,extract_neg5_2a,NBC.LAB.15363c,NBC.LAB.15381b,NBC.LAB.15354b,NBC.LAB.15325b,NBC.LAB.15333b,NBC.LAB.15301b,NBC.LAB.15240a,NBC.LAB.15240b,NBC.LAB.15240c,NBC.LAB.15373a,NBC.LAB.15373b,NBC.LAB.15373c
,,,,,,,,,,,,,,,NBC.LAB.11102b,NBC.LAB.11116b,NBC.LAB.11135b,NBC.LAB.11154b,NBC.LAB.11173b,NBC.LAB.11118a,NBC.LAB.11118b,NBC.LAB.11118c,,,NBC.LAB.15331c,extract_neg5_2b,NBC.LAB.15364c,NBC.LAB.15384b,NBC.LAB.15355b,NBC.LAB.15326b,NBC.LAB.15341b,NBC.LAB.15356b,NBC.LAB.15248a,NBC.LAB.15248b,NBC.LAB.15248c,NBC.LAB.15381a,NBC.LAB.15381b,NBC.LAB.15381c
,,,,,,,,,,,,,,,NBC.LAB.11102c,NBC.LAB.11116c,NBC.LAB.11135c,NBC.LAB.11154c,NBC.LAB.11173c,NBC.LAB.11119a,NBC.LAB.11119b,NBC.LAB.11119c,,,NBC.LAB.15350c,extract_neg5_2c,NBC.LAB.15365c,NBC.LAB.15385b,NBC.LAB.15282c,NBC.LAB.15328b,NBC.LAB.15343b,NBC.LAB.15377b,NBC.LAB.15256a,NBC.LAB.15256b,NBC.LAB.15256c,NBC.LAB.15389a,NBC.LAB.15389b,NBC.LAB.15389c
,,,,,,,,,,,,,,,NBC.LAB.11103a,NBC.LAB.11117a,NBC.LAB.11136a,NBC.LAB.11155a,NBC.LAB.11174a,NBC.LAB.11120a,NBC.LAB.11120b,NBC.LAB.11120c,,,NBC.LAB.15358c,,NBC.LAB.15367c,NBC.LAB.15386b,NBC.LAB.15299c,NBC.LAB.15330b,NBC.LAB.15368b,NBC.LAB.15383b,NBC.LAB.15264a,NBC.LAB.15264b,NBC.LAB.15264c,NBC.LAB.15334a,NBC.LAB.15334b,NBC.LAB.15334c
,,,,,,,,,,,,,,,NBC.LAB.11103b,NBC.LAB.11117b,NBC.LAB.11136b,NBC.LAB.11155b,NBC.LAB.11174b,NBC.LAB.11121a,NBC.LAB.11121b,NBC.LAB.11121c,,,NBC.LAB.15359c,,NBC.LAB.15369c,NBC.LAB.15252c,NBC.LAB.15302c,NBC.LAB.15334b,NBC.LAB.15376b,NBC.LAB.15389b,NBC.LAB.15272a,NBC.LAB.15272b,NBC.LAB.15272c,NBC.LAB.15342a,NBC.LAB.15342b,NBC.LAB.15342c
,,,,,,,,,,,,,,,NBC.LAB.11103c,NBC.LAB.11117c,NBC.LAB.11136c,NBC.LAB.11155c,NBC.LAB.11174c,NBC.LAB.11122a,NBC.LAB.11122b,NBC.LAB.11122c,,,NBC.LAB.15366c,,NBC.LAB.15372c,NBC.LAB.15253c,NBC.LAB.15304c,NBC.LAB.15339b,NBC.LAB.15379b,NBC.LAB.15391b,NBC.LAB.15280a,NBC.LAB.15280b,NBC.LAB.15280c,NBC.LAB.15350a,NBC.LAB.15350b,NBC.LAB.15350c
,,,,,,,,,,,,,,,NBC.LAB.11104a,NBC.LAB.11118a,NBC.LAB.11137a,NBC.LAB.11156a,NBC.LAB.11175a,NBC.LAB.11123a,NBC.LAB.11123b,NBC.LAB.11123c,,,NBC.LAB.15371c,,NBC.LAB.15373c,NBC.LAB.15254c,NBC.LAB.15305c,NBC.LAB.15340b,NBC.LAB.15382b,NBC.LAB.16308b,NBC.LAB.15288a,NBC.LAB.15288b,NBC.LAB.15288c,NBC.LAB.15358a,NBC.LAB.15358b,NBC.LAB.15358c
,,,,,,,,,,,,,,,NBC.LAB.11104b,NBC.LAB.11118b,NBC.LAB.11137b,NBC.LAB.11156b,NBC.LAB.11175b,NBC.LAB.11124a,NBC.LAB.11124b,NBC.LAB.11124c,,,NBC.LAB.15378c,,NBC.LAB.15374c,NBC.LAB.15261c,NBC.LAB.15307c,NBC.LAB.15346b,NBC.LAB.15388b,NBC.LAB.16309b,NBC.LAB.15296a,NBC.LAB.15296b,NBC.LAB.15296c,NBC.LAB.15366a,NBC.LAB.15366b,NBC.LAB.15366c
,,,,,,,,,,,,,,,NBC.LAB.11104c,NBC.LAB.11118c,NBC.LAB.11137c,NBC.LAB.11156c,NBC.LAB.11175c,NBC.LAB.11125a,NBC.LAB.11125b,NBC.LAB.11125c,,,NBC.LAB.15387c,,NBC.LAB.15375c,NBC.LAB.15263c,NBC.LAB.15308c,NBC.LAB.15347b,NBC.LAB.15390b,NBC.LAB.15237c,NBC.LAB.15304a,NBC.LAB.15304b,NBC.LAB.15304c,NBC.LAB.15374a,NBC.LAB.15374b,NBC.LAB.15374c
,,,,,,,,,,,,,,,,NBC.LAB.11119a,NBC.LAB.11138a,NBC.LAB.11157a,NBC.LAB.11211a,NBC.LAB.11126a,NBC.LAB.11126b,NBC.LAB.11126c,,,extract_neg4_2a,,extract_neg6_2a,NBC.LAB.15272c,NBC.LAB.15309c,NBC.LAB.15348b,NBC.LAB.15267b,NBC.LAB.15239c,NBC.LAB.15312a,NBC.LAB.15312b,NBC.LAB.15312c,NBC.LAB.15382a,NBC.LAB.15382b,NBC.LAB.15382c
,,,,,,,,,,,,,,,,NBC.LAB.11119b,NBC.LAB.11138b,NBC.LAB.11157b,NBC.LAB.11211b,NBC.LAB.11127a,NBC.LAB.11127b,NBC.LAB.11127c,,,extract_neg4_2b,,extract_neg6_2b,NBC.LAB.15273c,NBC.LAB.15310c,NBC.LAB.15255c,NBC.LAB.15238c,NBC.LAB.15240c,NBC.LAB.15320a,NBC.LAB.15320b,NBC.LAB.15320c,NBC.LAB.15390a,NBC.LAB.15390b,NBC.LAB.15390c
,,,,,,,,,,,,,,,,NBC.LAB.11119c,NBC.LAB.11138c,NBC.LAB.11157c,NBC.LAB.11211c,NBC.LAB.11128a,NBC.LAB.11128b,NBC.LAB.11128c,,,extract_neg4_2c,,extract_neg6_2c,NBC.LAB.15274c,NBC.LAB.15311c,NBC.LAB.15256c,NBC.LAB.15242c,NBC.LAB.15241c,NBC.LAB.15328a,NBC.LAB.15328b,NBC.LAB.15328c,NBC.LAB.15335a,NBC.LAB.15335b,NBC.LAB.15335c
,,,,,,,,,,,,,,,,NBC.LAB.11120a,NBC.LAB.11139a,NBC.LAB.11158a,NBC.LAB.11212a,NBC.LAB.11129a,NBC.LAB.11129b,NBC.LAB.11129c,,,,,,NBC.LAB.15275c,NBC.LAB.15312c,NBC.LAB.15257c,NBC.LAB.15243c,NBC.LAB.15247c,NBC.LAB.15241a,NBC.LAB.15241b,NBC.LAB.15241c,NBC.LAB.15343a,NBC.LAB.15343b,NBC.LAB.15343c
,,,,,,,,,,,,,,,,NBC.LAB.11120b,NBC.LAB.11139b,NBC.LAB.11158b,NBC.LAB.11212b,NBC.LAB.11130a,NBC.LAB.11130b,NBC.LAB.11130c,,,,,,NBC.LAB.15276c,NBC.LAB.15313c,NBC.LAB.15262c,NBC.LAB.15244c,NBC.LAB.15249c,NBC.LAB.15249a,NBC.LAB.15249b,NBC.LAB.15249c,NBC.LAB.15351a,NBC.LAB.15351b,NBC.LAB.15351c
,,,,,,,,,,,,,,,,NBC.LAB.11120c,NBC.LAB.11139c,NBC.LAB.11158c,NBC.LAB.11212c,NBC.LAB.11131a,NBC.LAB.11131b,NBC.LAB.11131c,,,,,,NBC.LAB.15278c,NBC.LAB.15314c,NBC.LAB.15264c,NBC.LAB.15245c,NBC.LAB.15258c,NBC.LAB.15257a,NBC.LAB.15257b,NBC.LAB.15257c,NBC.LAB.15359a,NBC.LAB.15359b,NBC.LAB.15359c
,,,,,,,,,,,,,,,,NBC.LAB.11121a,NBC.LAB.11140a,NBC.LAB.11159a,NBC.LAB.11213a,NBC.LAB.11132a,NBC.LAB.11132b,NBC.LAB.11132c,,,,,,NBC.LAB.15280c,NBC.LAB.15315c,NBC.LAB.15265c,NBC.LAB.15246c,NBC.LAB.15259c,NBC.LAB.15265a,NBC.LAB.15265b,NBC.LAB.15265c,NBC.LAB.15367a,NBC.LAB.15367b,NBC.LAB.15367c
,,,,,,,,,,,,,,,,NBC.LAB.11121b,NBC.LAB.11140b,NBC.LAB.11159b,NBC.LAB.11213b,NBC.LAB.11133a,NBC.LAB.11133b,NBC.LAB.11133c,,,,,,NBC.LAB.15300c,NBC.LAB.15316c,NBC.LAB.15266c,NBC.LAB.15248c,NBC.LAB.15260c,NBC.LAB.15273a,NBC.LAB.15273b,NBC.LAB.15273c,NBC.LAB.15375a,NBC.LAB.15375b,NBC.LAB.15375c
,,,,,,,,,,,,,,,,NBC.LAB.11121c,NBC.LAB.11140c,NBC.LAB.11159c,NBC.LAB.11213c,NBC.LAB.11134a,NBC.LAB.11134b,NBC.LAB.11134c,,,,,,NBC.LAB.15324c,NBC.LAB.15349c,NBC.LAB.15317c,NBC.LAB.15250c,NBC.LAB.15269c,NBC.LAB.15281a,NBC.LAB.15281b,NBC.LAB.15281c,NBC.LAB.15383a,NBC.LAB.15383b,NBC.LAB.15383c
,,,,,,,,,,,,,,,,NBC.LAB.11122a,NBC.LAB.11141a,NBC.LAB.11160a,NBC.LAB.11214a,NBC.LAB.11135a,NBC.LAB.11135b,NBC.LAB.11135c,,,,,,NBC.LAB.15370c,NBC.LAB.15351c,NBC.LAB.15318c,NBC.LAB.15251c,NBC.LAB.15271c,NBC.LAB.15289a,NBC.LAB.15289b,NBC.LAB.15289c,NBC.LAB.15391a,NBC.LAB.15391b,NBC.LAB.15391c
,,,,,,,,,,,,,,,,NBC.LAB.11122b,NBC.LAB.11141b,NBC.LAB.11160b,NBC.LAB.11214b,NBC.LAB.11136a,NBC.LAB.11136b,NBC.LAB.11136c,,,,,,NBC.LAB.15380c,NBC.LAB.15354c,NBC.LAB.15319c,NBC.LAB.15268c,NBC.LAB.15284c,NBC.LAB.15297a,NBC.LAB.15297b,NBC.LAB.15297c,NBC.LAB.15336a,NBC.LAB.15336b,NBC.LAB.15336c
,,,,,,,,,,,,,,,,NBC.LAB.11122c,NBC.LAB.11141c,NBC.LAB.11160c,NBC.LAB.11214c,NBC.LAB.11137a,NBC.LAB.11137b,NBC.LAB.11137c,,,,,,NBC.LAB.15381c,NBC.LAB.15355c,NBC.LAB.15320c,NBC.LAB.15270c,NBC.LAB.15297c,NBC.LAB.15305a,NBC.LAB.15305b,NBC.LAB.15305c,NBC.LAB.15344a,NBC.LAB.15344b,NBC.LAB.15344c
,,,,,,,,,,,,,,,,NBC.LAB.11123a,NBC.LAB.11142a,NBC.LAB.11161a,NBC.LAB.11215a,NBC.LAB.11138a,NBC.LAB.11138b,NBC.LAB.11138c,,,,,,NBC.LAB.15384c,extract_neg8_2a,NBC.LAB.15321c,NBC.LAB.15279c,NBC.LAB.15298c,NBC.LAB.15313a,NBC.LAB.15313b,NBC.LAB.15313c,NBC.LAB.15352a,NBC.LAB.15352b,NBC.LAB.15352c
,,,,,,,,,,,,,,,,NBC.LAB.11123b,NBC.LAB.11142b,NBC.LAB.11161b,NBC.LAB.11215b,NBC.LAB.11139a,NBC.LAB.11139b,NBC.LAB.11139c,,,,,,NBC.LAB.15385c,extract_neg8_2b,NBC.LAB.15323c,NBC.LAB.15286c,NBC.LAB.15301c,NBC.LAB.15321a,NBC.LAB.15321b,NBC.LAB.15321c,NBC.LAB.15360a,NBC.LAB.15360b,NBC.LAB.15360c
,,,,,,,,,,,,,,,,NBC.LAB.11123c,NBC.LAB.11142c,NBC.LAB.11161c,NBC.LAB.11215c,NBC.LAB.11140a,NBC.LAB.11140b,NBC.LAB.11140c,,,,,,NBC.LAB.15386c,extract_neg8_2c,NBC.LAB.15325c,NBC.LAB.15333c,NBC.LAB.15356c,NBC.LAB.15329a,NBC.LAB.15329b,NBC.LAB.15329c,NBC.LAB.15368a,NBC.LAB.15368b,NBC.LAB.15368c
,,,,,,,,,,,,,,,,,,NBC.LAB.11092a,,NBC.LAB.11141a,NBC.LAB.11141b,NBC.LAB.11141c,,,,,,extract_neg7_2a,,NBC.LAB.15326c,NBC.LAB.15341c,NBC.LAB.15377c,NBC.LAB.15242a,NBC.LAB.15242b,NBC.LAB.15242c,NBC.LAB.15376a,NBC.LAB.15376b,NBC.LAB.15376c
,,,,,,,,,,,,,,,,,,NBC.LAB.11092b,,NBC.LAB.11142a,NBC.LAB.11142b,NBC.LAB.11142c,,,,,,extract_neg7_2b,,NBC.LAB.15328c,NBC.LAB.15343c,NBC.LAB.15383c,NBC.LAB.15250a,NBC.LAB.15250b,NBC.LAB.15250c,NBC.LAB.15384a,NBC.LAB.15384b,NBC.LAB.15384c
,,,,,,,,,,,,,,,,,,NBC.LAB.11092c,,NBC.LAB.11143a,NBC.LAB.11143b,NBC.LAB.11143c,,,,,,extract_neg7_2c,,NBC.LAB.15330c,NBC.LAB.15368c,NBC.LAB.15389c,NBC.LAB.15258a,NBC.LAB.15258b,NBC.LAB.15258c,NBC.LAB.16308a,NBC.LAB.16308b,NBC.LAB.16308c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11144a,NBC.LAB.11144b,NBC.LAB.11144c,,,,,,,,NBC.LAB.15334c,NBC.LAB.15376c,NBC.LAB.15391c,NBC.LAB.15266a,NBC.LAB.15266b,NBC.LAB.15266c,NBC.LAB.15337a,NBC.LAB.15337b,NBC.LAB.15337c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11145a,NBC.LAB.11145b,NBC.LAB.11145c,,,,,,,,NBC.LAB.15339c,NBC.LAB.15379c,NBC.LAB.16308c,NBC.LAB.15274a,NBC.LAB.15274b,NBC.LAB.15274c,NBC.LAB.15345a,NBC.LAB.15345b,NBC.LAB.15345c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11146a,NBC.LAB.11146b,NBC.LAB.11146c,,,,,,,,NBC.LAB.15340c,NBC.LAB.15382c,NBC.LAB.16309c,NBC.LAB.15282a,NBC.LAB.15282b,NBC.LAB.15282c,NBC.LAB.15353a,NBC.LAB.15353b,NBC.LAB.15353c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11147a,NBC.LAB.11147b,NBC.LAB.11147c,,,,,,,,NBC.LAB.15346c,NBC.LAB.15388c,extract_neg11_2a,NBC.LAB.15290a,NBC.LAB.15290b,NBC.LAB.15290c,NBC.LAB.15361a,NBC.LAB.15361b,NBC.LAB.15361c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11148a,NBC.LAB.11148b,NBC.LAB.11148c,,,,,,,,NBC.LAB.15347c,NBC.LAB.15390c,extract_neg11_2b,NBC.LAB.15298a,NBC.LAB.15298b,NBC.LAB.15298c,NBC.LAB.15369a,NBC.LAB.15369b,NBC.LAB.15369c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11149a,NBC.LAB.11149b,NBC.LAB.11149c,,,,,,,,NBC.LAB.15348c,NBC.LAB.15267c,extract_neg11_2c,NBC.LAB.15306a,NBC.LAB.15306b,NBC.LAB.15306c,NBC.LAB.15377a,NBC.LAB.15377b,NBC.LAB.15377c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11150a,NBC.LAB.11150b,NBC.LAB.11150c,,,,,,,,extract_neg9_2a,extract_neg10_2a,,NBC.LAB.15314a,NBC.LAB.15314b,NBC.LAB.15314c,NBC.LAB.15385a,NBC.LAB.15385b,NBC.LAB.15385c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11151a,NBC.LAB.11151b,NBC.LAB.11151c,,,,,,,,extract_neg9_2b,extract_neg10_2b,,NBC.LAB.15322a,NBC.LAB.15322b,NBC.LAB.15322c,NBC.LAB.16309a,NBC.LAB.16309b,NBC.LAB.16309c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11152a,NBC.LAB.11152b,NBC.LAB.11152c,,,,,,,,extract_neg9_2c,extract_neg10_2c,,NBC.LAB.15330a,NBC.LAB.15330b,NBC.LAB.15330c,NBC.LAB.15338a,NBC.LAB.15338b,NBC.LAB.15338c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11153a,NBC.LAB.11153b,NBC.LAB.11153c,,,,,,,,,,,NBC.LAB.15243a,NBC.LAB.15243b,NBC.LAB.15243c,NBC.LAB.15346a,NBC.LAB.15346b,NBC.LAB.15346c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11154a,NBC.LAB.11154b,NBC.LAB.11154c,,,,,,,,,,,NBC.LAB.15251a,NBC.LAB.15251b,NBC.LAB.15251c,NBC.LAB.15354a,NBC.LAB.15354b,NBC.LAB.15354c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11155a,NBC.LAB.11155b,NBC.LAB.11155c,,,,,,,,,,,NBC.LAB.15259a,NBC.LAB.15259b,NBC.LAB.15259c,NBC.LAB.15362a,NBC.LAB.15362b,NBC.LAB.15362c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11156a,NBC.LAB.11156b,NBC.LAB.11156c,,,,,,,,,,,NBC.LAB.15267a,NBC.LAB.15267b,NBC.LAB.15267c,NBC.LAB.15370a,NBC.LAB.15370b,NBC.LAB.15370c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11157a,NBC.LAB.11157b,NBC.LAB.11157c,,,,,,,,,,,NBC.LAB.15275a,NBC.LAB.15275b,NBC.LAB.15275c,NBC.LAB.15378a,NBC.LAB.15378b,NBC.LAB.15378c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11158a,NBC.LAB.11158b,NBC.LAB.11158c,,,,,,,,,,,NBC.LAB.15283a,NBC.LAB.15283b,NBC.LAB.15283c,NBC.LAB.15386a,NBC.LAB.15386b,NBC.LAB.15386c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11159a,NBC.LAB.11159b,NBC.LAB.11159c,,,,,,,,,,,NBC.LAB.15291a,NBC.LAB.15291b,NBC.LAB.15291c,NBC.LAB.15339a,NBC.LAB.15339b,NBC.LAB.15339c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11160a,NBC.LAB.11160b,NBC.LAB.11160c,,,,,,,,,,,NBC.LAB.15299a,NBC.LAB.15299b,NBC.LAB.15299c,NBC.LAB.15347a,NBC.LAB.15347b,NBC.LAB.15347c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11161a,NBC.LAB.11161b,NBC.LAB.11161c,,,,,,,,,,,NBC.LAB.15307a,NBC.LAB.15307b,NBC.LAB.15307c,NBC.LAB.15355a,NBC.LAB.15355b,NBC.LAB.15355c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11162a,NBC.LAB.11162b,NBC.LAB.11162c,,,,,,,,,,,NBC.LAB.15315a,NBC.LAB.15315b,NBC.LAB.15315c,NBC.LAB.15363a,NBC.LAB.15363b,NBC.LAB.15363c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11163a,NBC.LAB.11163b,NBC.LAB.11163c,,,,,,,,,,,NBC.LAB.15323a,NBC.LAB.15323b,NBC.LAB.15323c,NBC.LAB.15371a,NBC.LAB.15371b,NBC.LAB.15371c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11164a,NBC.LAB.11164b,NBC.LAB.11164c,,,,,,,,,,,NBC.LAB.15331a,NBC.LAB.15331b,NBC.LAB.15331c,NBC.LAB.15379a,NBC.LAB.15379b,NBC.LAB.15379c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11165a,NBC.LAB.11165b,NBC.LAB.11165c,,,,,,,,,,,NBC.LAB.15244a,NBC.LAB.15244b,NBC.LAB.15244c,NBC.LAB.15387a,NBC.LAB.15387b,NBC.LAB.15387c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11166a,NBC.LAB.11166b,NBC.LAB.11166c,,,,,,,,,,,NBC.LAB.15252a,NBC.LAB.15252b,NBC.LAB.15252c,extract_neg5_2a,extract_neg5_2b,extract_neg5_2c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11167a,NBC.LAB.11167b,NBC.LAB.11167c,,,,,,,,,,,NBC.LAB.15260a,NBC.LAB.15260b,NBC.LAB.15260c,extract_neg6_2a,extract_neg6_2b,extract_neg6_2c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11168a,NBC.LAB.11168b,NBC.LAB.11168c,,,,,,,,,,,NBC.LAB.15268a,NBC.LAB.15268b,NBC.LAB.15268c,extract_neg7_2a,extract_neg7_2b,extract_neg7_2c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11169a,NBC.LAB.11169b,NBC.LAB.11169c,,,,,,,,,,,NBC.LAB.15276a,NBC.LAB.15276b,NBC.LAB.15276c,extract_neg8_2a,extract_neg8_2b,extract_neg8_2c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11170a,NBC.LAB.11170b,NBC.LAB.11170c,,,,,,,,,,,NBC.LAB.15284a,NBC.LAB.15284b,NBC.LAB.15284c,extract_neg9_2a,extract_neg9_2b,extract_neg9_2c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11171a,NBC.LAB.11171b,NBC.LAB.11171c,,,,,,,,,,,NBC.LAB.15292a,NBC.LAB.15292b,NBC.LAB.15292c,extract_neg10_2a,extract_neg10_2b,extract_neg10_2c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11172a,NBC.LAB.11172b,NBC.LAB.11172c,,,,,,,,,,,NBC.LAB.15300a,NBC.LAB.15300b,NBC.LAB.15300c,extract_neg1_2a,extract_neg1_2b,extract_neg1_2c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11173a,NBC.LAB.11173b,NBC.LAB.11173c,,,,,,,,,,,NBC.LAB.15308a,NBC.LAB.15308b,NBC.LAB.15308c,extract_neg11_2a,extract_neg11_2b,extract_neg11_2c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11174a,NBC.LAB.11174b,NBC.LAB.11174c,,,,,,,,,,,NBC.LAB.15316a,NBC.LAB.15316b,NBC.LAB.15316c,extract_neg4_2a,extract_neg4_2b,extract_neg4_2c
,,,,,,,,,,,,,,,,,,,,NBC.LAB.11175a,NBC.LAB.11175b,NBC.LAB.11175c,,,,,,,,,,,NBC.LAB.15324a,NBC.LAB.15324b,NBC.LAB.15324c,negcontrolMP057A_,negcontrolMP057B_,negcontrolMP057C_
,,,,,,,,,,,,,,,,,,,,negcontrolSV011_,negcontrolSV012_,negcontrolSV013_,,,,,,,,,,,negcontrolMP056A_,negcontrolMP056B_,negcontrolMP056C_,,,
